id;weight;ingredient_id;recipe_id
0;400;0;0
1;300;1;0
2;200;2;0
3;100;3;0
4;100;4;0
5;100;5;0
6;30;4;0
7;20;6;0
8;400;7;0
9;10;8;0
10;200;9;1
11;100;3;1
12;100;10;1
13;100;2;1
14;100;4;1
15;100;5;1
16;20;11;1
17;400;7;1
18;400;12;1
19;200;13;2
20;400;5;2
21;100;4;2
22;50;14;2
23;20;11;2
24;400;15;2
25;2000;7;2
26;400;16;3
27;200;2;3
28;200;3;3
29;200;5;3
30;100;4;3
31;20;17;3
32;600;7;3
33;50;13;4
34;200;5;4
35;10;11;4
36;5;8;4
37;100;4;4
38;1000;7;4
39;30;7;4
40;10;14;4
41;360;18;4
42;400;15;5
43;200;19;5
44;200;2;5
45;100;3;5
46;100;4;5
47;1000;7;5
48;50;20;5
49;200;12;6
50;100;10;6
51;100;3;6
52;100;21;6
53;100;22;6
54;100;23;6
55;800;7;6
56;100;4;6
57;2;24;6
58;100;5;6
59;600;25;7
60;200;26;7
61;200;9;7
62;200;19;7
63;20;14;7
64;200;25;8
65;5;11;8
66;100;19;8
67;3;8;8
68;5;27;8
69;5;14;8
70;160;28;9
71;100;4;9
72;20;29;9
73;250;30;9
74;150;31;9
75;250;7;9
76;200;32;10
77;800;7;10
78;150;3;10
79;100;4;10
80;20;29;10
81;10;8;10
82;80;13;11
83;200;1;11
84;300;5;11
85;100;4;11
86;20;29;11
87;20;8;11
88;300;33;11
89;500;7;11
90;3;34;11
91;200;35;12
92;200;36;12
93;120;37;12
94;100;3;12
95;100;4;12
96;20;6;12
97;600;7;12
98;400;5;13
99;300;19;13
100;100;4;13
101;200;21;13
102;20;8;13
103;10;11;13
104;60;38;13
105;30;39;13
106;40;14;13
107;200;40;13
108;200;12;14
109;200;26;14
110;200;2;14
111;200;19;14
112;100;4;14
113;50;14;14
114;500;41;14
115;500;42;15
116;100;2;15
117;100;4;15
118;100;3;15
119;4000;7;15
120;500;12;15
121;100;20;16
122;80;3;16
123;50;8;16
124;80;4;16
125;800;2;16
126;600;43;16
127;2000;7;16
128;30;44;17
129;1349;7;17
130;100;45;17
131;70;21;17
132;70;46;17
133;150;3;17
134;527;2;17
135;1012;47;17
136;3;48;18
137;2000;7;18
138;80;29;18
139;3;14;18
140;50;26;18
141;80;3;18
142;80;4;18
143;600;49;18
144;600;1;19
145;110;4;19
146;80;3;19
147;120;3;19
148;100;23;19
149;10;8;19
150;120;12;19
151;500;7;19
152;50;14;20
153;50;11;20
154;100;4;20
155;150;4;20
156;300;3;20
157;200;50;20
158;2000;7;21
159;300;2;21
160;30;48;21
161;3;21;21
162;2;51;21
163;5;8;21
164;7;6;21
165;13;14;21
166;250;29;21
167;60;26;21
168;50;30;21
169;25;8;22
170;25;29;22
171;25;52;22
172;200;7;22
173;400;30;22
174;500;53;22
175;5;40;22
176;5;54;22
177;12;8;23
178;5;21;23
179;30;48;23
180;100;14;23
181;3000;7;23
182;450;2;23
183;250;3;23
184;150;4;23
185;1200;55;23
186;200;20;23
187;120;56;24
188;5;48;24
189;3;21;24
190;100;4;24
191;30;8;24
192;1000;7;24
193;1000;4;24
194;5;48;25
195;1300;7;25
196;50;15;25
197;250;57;25
198;1000;10;26
199;500;0;26
200;200;4;26
201;70;6;26
202;20;8;26
203;20;29;26
204;40;14;26
205;2000;7;26
206;60;3;26
207;1000;3;27
208;1000;7;27
209;150;4;27
210;15;11;27
211;10;8;27
212;5;27;27
213;40;14;27
214;40;27;27
215;10;8;28
216;500;7;28
217;20;40;28
218;100;26;28
219;3;58;28
220;5;14;28
221;3;59;28
222;350;40;28
223;90;5;28
224;50;21;28
225;50;11;28
226;100;60;28
227;80;18;28
228;80;4;28
229;100;61;28
230;70;62;28
231;75;3;28
232;50;37;29
233;100;22;29
234;60;26;29
235;20;8;29
236;50;4;29
237;100;3;29
238;400;2;29
239;2000;7;29
240;100;3;30
241;100;4;30
242;200;20;30
243;300;2;30
244;30;8;30
245;20;14;30
246;2000;7;30
